subject,class,chapter_file,chapter_number,heading_number,heading_text
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1,KÖssel-Lewis Approach to Chemical Bonding
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.1,Octet Rule
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.2,Covalent Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.3,Lewis Representation of Simple Molecules (the Lewis Structures)
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.4,Formal Charge
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.5,Limitations of the Octet Rule
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.2,Ionic or Electrovalent Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.2.1,Lattice Enthalpy
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3,Bond Parameters
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.1,Bond Length
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.2,Bond Angle
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.3,Bond Enthalpy
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.4,Bond Order
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.5,Resonance Structures
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.6,Polarity of Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.4,The Valence Shell Electron Pair Repulsion (VSEPR) Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5,Valence Bond Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.1,Orbital Overlap Concept
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.2,Directional Properties of Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.3,Overlapping of Atomic Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.4,Types of Overlapping and Nature of Covalent Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.5,Strength of Sigma and pi Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6,Hybridisation
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.1,Types of Hybridisation
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.2,Other Examples of sp³ sp² and sp Hybridisation
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.3,Hybridisation of Elements involving d Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7,Molecular Orbital Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.1,Formation of Molecular Orbitals Linear Combination of Atomic Orbitals (LCAO)
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.2,Conditions for the Combination of Atomic Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.3,Types of Molecular Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.4,Energy Level Diagram for Molecular Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.5,Electronic Configuration and Molecular Behaviour
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.8,Bonding in Some Homonuclear Diatomic Molecules
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.9,Hydrogen Bonding
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.9.1,Cause of Formation of Hydrogen Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.9.2,Types of H-Bonds
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.1,WHY DO WE NEED TO CLASSIFY ELEMENTS?
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.2,GENESIS OF PERIODIC CLASSIFICATION
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.3,MODERN PERIODIC LAW AND THE PRESENT FORM OF THE PERIODIC TABLE
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.4,NOMENCLATURE OF ELEMENTS WITH ATOMIC NUMBERS > 100
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.5,ELECTRONIC CONFIGURATIONS OF ELEMENTS AND THE PERIODIC TABLE
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.5.1,Electronic Configurations in Periods
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.5.2,Groupwise Electronic Configurations
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6,ELECTRONIC CONFIGURATIONS AND TYPES OF ELEMENTS: s- p- d- f-BLOCKS
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6.1,The s-Block Elements
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6.2,The p-Block Elements
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6.3,The d-Block Elements (Transition Elements)
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6.4,The f-Block Elements (Inner-Transition Elements)
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.6.5,Metals Non-metals and Metalloids
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.7,PERIODIC TRENDS IN PROPERTIES OF ELEMENTS
Chemistry,Class 11,Classification Of Elements And Periodicity.pdf,3,3.7.1,Trends in Physical Properties
Chemistry,Class 11,Equilibrium.pdf,6,6.1,EQUILIBRIUM IN PHYSICAL PROCESSES
Chemistry,Class 11,Equilibrium.pdf,6,6.1.1,Solid-Liquid Equilibrium
Chemistry,Class 11,Equilibrium.pdf,6,6.1.2,Liquid-Vapour Equilibrium
Chemistry,Class 11,Equilibrium.pdf,6,6.1.3,Solid-Vapour Equilibrium
Chemistry,Class 11,Equilibrium.pdf,6,6.1.4,Equilibrium Involving Dissolution of Solid or Gases in Liquids
Chemistry,Class 11,Equilibrium.pdf,6,6.1.5,General Characteristics of Equilibria Involving Physical Processes
Chemistry,Class 11,Equilibrium.pdf,6,6.2,EQUILIBRIUM IN CHEMICAL PROCESSES – DYNAMIC EQUILIBRIUM
Chemistry,Class 11,Equilibrium.pdf,6,6.3,LAW OF CHEMICAL EQUILIBRIUM AND EQUILIBRIUM CONSTANT
Chemistry,Class 11,Equilibrium.pdf,6,6.4,HOMOGENEOUS EQUILIBRIA
Chemistry,Class 11,Equilibrium.pdf,6,6.4.1,Equilibrium Constant in Gaseous Systems
Chemistry,Class 11,Equilibrium.pdf,6,6.5,HETEROGENEOUS EQUILIBRIA
Chemistry,Class 11,Equilibrium.pdf,6,6.6,APPLICATIONS OF EQUILIBRIUM CONSTANTS
Chemistry,Class 11,Equilibrium.pdf,6,6.6.1,Predicting the Extent of a Reaction
Chemistry,Class 11,Equilibrium.pdf,6,6.6.2,Predicting the Direction of the Equilibrium
Chemistry,Class 11,Equilibrium.pdf,6,6.6.3,Calculating Equilibrium Concentration
Chemistry,Class 11,Equilibrium.pdf,6,6.7,RELATIONSHIP BETWEEN EQUILIBRIUM CONSTANT K REACTION QUOTIENT Q AND GIBBS ENERGY G
Chemistry,Class 11,Equilibrium.pdf,6,6.8,FACTORS AFFECTING EQUILIBRIA
Chemistry,Class 11,Equilibrium.pdf,6,6.8.1,Effect of Concentration Change
Chemistry,Class 11,Equilibrium.pdf,6,6.8.2,Effect of Pressure Change
Chemistry,Class 11,Equilibrium.pdf,6,6.8.3,Effect of Inert Gas Addition
Chemistry,Class 11,Equilibrium.pdf,6,6.8.4,Effect of Temperature Change
Chemistry,Class 11,Equilibrium.pdf,6,6.8.5,Effect of a Catalyst
Chemistry,Class 11,Equilibrium.pdf,6,6.9,IONIC EQUILIBRIUM IN SOLUTION
Chemistry,Class 11,Equilibrium.pdf,6,6.10,ACIDS BASES AND SALTS
Chemistry,Class 11,Equilibrium.pdf,6,6.10.1,Arrhenius Concept of Acids and Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.10.2,The Brönsted-Lowry Acids and Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.10.3,Lewis Acids and Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.11,IONIZATION OF ACIDS AND BASES
Chemistry,Class 11,Equilibrium.pdf,6,6.11.1,The Ionization Constant of Water and its Ionic Product
Chemistry,Class 11,Equilibrium.pdf,6,6.11.2,The pH Scale
Chemistry,Class 11,Equilibrium.pdf,6,6.11.3,Ionization Constants of Weak Acids
Chemistry,Class 11,Equilibrium.pdf,6,6.11.4,Ionization of Weak Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.11.5,Relation between Ka and Kb
Chemistry,Class 11,Equilibrium.pdf,6,6.11.6,Di- and Polybasic Acids and Di- and Polyacidic Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.11.7,Factors Affecting Acid Strength
Chemistry,Class 11,Equilibrium.pdf,6,6.11.8,Common Ion Effect in the Ionization of Acids and Bases
Chemistry,Class 11,Equilibrium.pdf,6,6.11.9,Hydrolysis of Salts and the pH of their Solutions
Chemistry,Class 11,Equilibrium.pdf,6,6.12,BUFFER SOLUTIONS
Chemistry,Class 11,Equilibrium.pdf,6,6.13,SOLUBILITY EQUILIBRIA OF SPARINGLY SOLUBLE SALTS
Chemistry,Class 11,Equilibrium.pdf,6,6.13.1,Solubility Product Constant
Chemistry,Class 11,Equilibrium.pdf,6,6.13.2,Common Ion Effect on Solubility of Ionic Salts
Chemistry,Class 11,Hydrocarbons.pdf,9,9.1,CLASSIFICATION
Chemistry,Class 11,Hydrocarbons.pdf,9,9.2,ALKANES
Chemistry,Class 11,Hydrocarbons.pdf,9,9.2.1,Nomenclature and Isomerism
Chemistry,Class 11,Hydrocarbons.pdf,9,9.2.2,Preparation
Chemistry,Class 11,Hydrocarbons.pdf,9,9.2.3,Properties
Chemistry,Class 11,Hydrocarbons.pdf,9,9.2.4,Conformations
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3,ALKENES
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3.1,Structure of Double Bond
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3.2,Nomenclature
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3.3,Isomerism
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3.4,Preparation
Chemistry,Class 11,Hydrocarbons.pdf,9,9.3.5,Properties
Chemistry,Class 11,Hydrocarbons.pdf,9,9.4,ALKYNES
Chemistry,Class 11,Hydrocarbons.pdf,9,9.4.1,Nomenclature and Isomerism
Chemistry,Class 11,Hydrocarbons.pdf,9,9.4.2,Structure of Triple Bond
Chemistry,Class 11,Hydrocarbons.pdf,9,9.4.3,Preparation
Chemistry,Class 11,Hydrocarbons.pdf,9,9.4.4,Properties
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5,AROMATIC HYDROCARBON
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.1,Nomenclature and Isomerism
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.2,Structure of Benzene
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.3,Aromaticity
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.4,Preparation of Benzene
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.5,Properties
Chemistry,Class 11,Hydrocarbons.pdf,9,9.5.6,Directive influence of a functional group in monosubstituted benzene
Chemistry,Class 11,Hydrocarbons.pdf,9,9.6,CARCINOGENICITY AND TOXICITY
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.1,GENERAL INTRODUCTION
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.2,TETRAVALENCE OF CARBON: SHAPES OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.2.1,The Shapes of Carbon Compounds
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.2.2,Some Characteristic Features of π Bonds
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.3,STRUCTURAL REPRESENTATIONS OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.3.1,Complete Condensed and Bond-line Structural Formulas
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.3.2,Three-Dimensional Representation of Organic Molecules
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.4,CLASSIFICATION OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.4.1,Functional Group
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.4.2,Homologous Series
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.5,NOMENCLATURE OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.5.1,The IUPAC System of Nomenclature
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.5.2,IUPAC Nomenclature of Alkanes
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.5.3,Nomenclature of Organic Compounds having Functional Group(s)
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.5.4,Nomenclature of Substituted Benzene Compounds
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.6,ISOMERISM
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.6.1,Structural Isomerism
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.6.2,Stereoisomerism
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7,FUNDAMENTAL CONCEPTS IN ORGANIC REACTION MECHANISM
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.1,Fission of a Covalent Bond
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.2,Nucleophiles and Electrophiles
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.3,Electron Movement in Organic Reactions
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.4,Electron Displacement Effects in Covalent Bonds
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.5,Inductive Effect
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.6,Resonance Structure
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.7,Resonance Effect
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.8,Electromeric Effect (E effect)
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.9,Hyperconjugation
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.7.10,Types of Organic Reactions and Mechanisms
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8,METHODS OF PURIFICATION OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8.1,Sublimation
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8.2,Crystallisation
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8.3,Distillation
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8.4,Differential Extraction
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.8.5,Chromatography
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.9,QUALITATIVE ANALYSIS OF ORGANIC COMPOUNDS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.9.1,Detection of Carbon and Hydrogen
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.9.2,Detection of Other Elements
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10,QUANTITATIVE ANALYSIS
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.1,Carbon and Hydrogen
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.2,Nitrogen
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.3,Halogens
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.4,Sulphur
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.5,Phosphorus
Chemistry,Class 11,Organic Chemistry Basics.pdf,8,8.10.6,Oxygen
Chemistry,Class 11,Redox Reactions.pdf,7,7.1,CLASSICAL IDEA OF REDOX REACTIONS – OXIDATION AND REDUCTION REACTIONS
Chemistry,Class 11,Redox Reactions.pdf,7,7.2,REDOX REACTIONS IN TERMS OF ELECTRON TRANSFER REACTIONS
Chemistry,Class 11,Redox Reactions.pdf,7,7.2.1,Competitive Electron Transfer Reactions
Chemistry,Class 11,Redox Reactions.pdf,7,7.3,OXIDATION NUMBER
Chemistry,Class 11,Redox Reactions.pdf,7,7.3.1,Types of Redox Reactions
Chemistry,Class 11,Redox Reactions.pdf,7,7.3.2,Balancing of Redox Reactions
Chemistry,Class 11,Redox Reactions.pdf,7,7.3.3,Redox Reactions as the Basis for Titrations
Chemistry,Class 11,Redox Reactions.pdf,7,7.3.4,Limitations of Concept of Oxidation Number
Chemistry,Class 11,Redox Reactions.pdf,7,7.4,REDOX REACTIONS AND ELECTRODE PROCESSES
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.1,IMPORTANCE OF CHEMISTRY
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.2,NATURE OF MATTER
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.2.1,States of Matter
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.2.2,Classification of Matter
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3,PROPERTIES OF MATTER AND THEIR MEASUREMENT
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.1,Physical and chemical properties
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.2,Measurement of physical properties
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.3,The International System of Units (SI)
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.4,Mass and Weight
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.5,Volume
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.6,Density
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.3.7,Temperature
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.4,UNCERTAINTY IN MEASUREMENT
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.4.1,Scientific Notation
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.4.2,Significant Figures
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.4.3,Dimensional Analysis
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5,LAWS OF CHEMICAL COMBINATIONS
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5.1,Law of Conservation of Mass
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5.2,Law of Definite Proportions
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5.3,Law of Multiple Proportions
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5.4,Gay Lussac’s Law of Gaseous Volumes
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.5.5,Avogadro Law
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.6,DALTON’S ATOMIC THEORY
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.7,ATOMIC AND MOLECULAR MASSES
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.8,MOLE CONCEPT AND MOLAR MASSES
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.9,PERCENTAGE COMPOSITION
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.9.1,Empirical Formula for Molecular Formula
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.10,STOICHIOMETRY AND STOICHIOMETRIC CALCULATIONS
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.10.1,Limiting Reagent
Chemistry,Class 11,Some Basic Concepts Of Chemistry.pdf,1,1.10.2,Reactions in Solutions
Chemistry,Class 11,Structure Of Atom.pdf,2,2.1,DISCOVERY OF SUB-ATOMIC PARTICLES
Chemistry,Class 11,Structure Of Atom.pdf,2,2.1.1,Discovery of Electron
Chemistry,Class 11,Structure Of Atom.pdf,2,2.1.2,Charge to Mass Ratio of Electron
Chemistry,Class 11,Structure Of Atom.pdf,2,2.1.3,Charge on the Electron
Chemistry,Class 11,Structure Of Atom.pdf,2,2.1.4,Discovery of Protons and Neutrons
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2,ATOMIC MODELS
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2.1,Thomson Model of Atom
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2.2,Rutherford’s Nuclear Model of Atom
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2.3,Atomic Number and Mass Number
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2.4,Isobars and Isotopes
Chemistry,Class 11,Structure Of Atom.pdf,2,2.2.5,Drawbacks of Rutherford Model
Chemistry,Class 11,Structure Of Atom.pdf,2,2.3,DEVELOPMENTS LEADING TO THE BOHR’S MODEL OF ATOM
Chemistry,Class 11,Structure Of Atom.pdf,2,2.3.1,Wave Nature of Electromagnetic Radiation
Chemistry,Class 11,Structure Of Atom.pdf,2,2.3.2,Particle Nature of Electromagnetic Radiation- Planck’s Quantum Theory
Chemistry,Class 11,Structure Of Atom.pdf,2,2.3.3,Evidence for the quantized* Electronic Energy Levels: Atomic spectra
Chemistry,Class 11,Structure Of Atom.pdf,2,2.4,BOHR’S MODEL FOR HYDROGEN ATOM
Chemistry,Class 11,Structure Of Atom.pdf,2,2.4.1,Explanation of Line Spectrum of Hydrogen
Chemistry,Class 11,Structure Of Atom.pdf,2,2.4.2,Limitations of Bohr’s Model
Chemistry,Class 11,Structure Of Atom.pdf,2,2.5,TOWARDS QUANTUM MECHANICAL MODEL OF THE ATOM
Chemistry,Class 11,Structure Of Atom.pdf,2,2.5.1,Dual Behaviour of Matter
Chemistry,Class 11,Structure Of Atom.pdf,2,2.5.2,Heisenberg’s Uncertainty Principle
Chemistry,Class 11,Structure Of Atom.pdf,2,2.6,QUANTUM MECHANICAL MODEL OF ATOM
Chemistry,Class 11,Structure Of Atom.pdf,2,2.6.1,Hydrogen Atom and the Schrödinger Equation
Chemistry,Class 11,Structure Of Atom.pdf,2,2.6.2,Important Features of the Quantum Mechanical Model of Atom
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7,QUANTUM MECHANICAL TREATMENT OF MODEL OF ATOM
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.1,Principal Quantum Number (n)
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.2,Azimuthal Quantum Number (l)
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.3,Magnetic Orbital Quantum Number (ml)
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.4,Electron Spin Quantum Number (ms)
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.5,Shapes of Atomic Orbitals
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.6,Energies of Orbitals
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.7,Filling of Orbitals in Atom
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.8,Electronic Configuration of Atoms
Chemistry,Class 11,Structure Of Atom.pdf,2,2.7.9,Stability of Completely Filled and Half Filled Subshells
Chemistry,Class 11,Thermodynamics.pdf,5,5.1,THERMODYNAMIC TERMS
Chemistry,Class 11,Thermodynamics.pdf,5,5.1.1,The System and the Surroundings
Chemistry,Class 11,Thermodynamics.pdf,5,5.1.2,Types of the System
Chemistry,Class 11,Thermodynamics.pdf,5,5.1.3,The State of the System
Chemistry,Class 11,Thermodynamics.pdf,5,5.1.4,The Internal Energy as a State Function
Chemistry,Class 11,Thermodynamics.pdf,5,5.2,APPLICATIONS
Chemistry,Class 11,Thermodynamics.pdf,5,5.2.1,Work
Chemistry,Class 11,Thermodynamics.pdf,5,5.2.2,Enthalpy H
Chemistry,Class 11,Thermodynamics.pdf,5,5.3,MEASUREMENT OF ∆U AND ∆H: CALORIMETRY
Chemistry,Class 11,Thermodynamics.pdf,5,5.4,ENTHALPY CHANGE ∆rH OF A REACTION – REACTION ENTHALPY
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.1,Standard Enthalpy of Reactions
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.2,Enthalpy Changes during Phase Transformations
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.3,Standard Enthalpy of Formation
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.4,Thermochemical Equations
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.5,Hess’s Law of Constant Heat Summation
Chemistry,Class 11,Thermodynamics.pdf,5,5.4.6,Enthalpies for Different Types of Reactions
Chemistry,Class 11,Thermodynamics.pdf,5,5.5,SPONTANEITY
Chemistry,Class 11,Thermodynamics.pdf,5,5.5.1,Is Decrease in Enthalpy a Criterion for Spontaneity ?
Chemistry,Class 11,Thermodynamics.pdf,5,5.5.2,Entropy and Spontaneity
Chemistry,Class 11,Thermodynamics.pdf,5,5.5.3,Gibbs Energy and Spontaneity
Chemistry,Class 11,Thermodynamics.pdf,5,5.5.4,Absolute Entropy and Third Law of Thermodynamics
Chemistry,Class 11,Thermodynamics.pdf,5,5.6,GIBBS ENERGY CHANGE AND EQUILIBRIUM
Chemistry,Class 11,Thermodynamics.pdf,5,5.6.1,Relationship between Gibbs Energy Change and Equilibrium Constant K
Chemistry,Class 11,Thermodynamics.pdf,5,5.6.2,Gibbs Energy Change and Equilibrium Constant
Chemistry,Class 11,Thermodynamics.pdf,5,5.6.3,Relationship between Gibbs Energy Change and Equilibrium Constant K
Chemistry,Class 11,Thermodynamics.pdf,5,5.6.4,Gibbs Energy Change and Equilibrium Constant
Chemistry,Class 11,Thermodynamics.pdf,5,5.7,ENTROPY AND SECOND LAW OF THERMODYNAMICS
Chemistry,Class 11,Thermodynamics.pdf,5,5.7.1,Entropy and Spontaneity
Chemistry,Class 11,Thermodynamics.pdf,5,5.7.2,Entropy Change in Reversible and Irreversible Processes
Chemistry,Class 11,Thermodynamics.pdf,5,5.7.3,Entropy Change in an Ideal Gas
Chemistry,Class 11,Thermodynamics.pdf,5,5.7.4,Entropy Change in Mixing of Ideal Gases
Chemistry,Class 11,Thermodynamics.pdf,5,5.7.5,Entropy Change due to Change in Temperature
Chemistry,Class 11,Thermodynamics.pdf,5,5.8,THIRD LAW OF THERMODYNAMICS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.1,CLASSIFICATION
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.1.1,ALCOHOLS- MONO DI TRI OR POLYHYDRIC ALCOHOLS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.1.2,PHENOLS- MONO DI AND TRIHYDRIC PHENOLS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.1.3,ETHERS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.2,NOMENCLATURE
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.3,STRUCTURES OF FUNCTIONAL GROUPS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.4,ALCOHOLS AND PHENOLS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.4.1,PREPARATION OF ALCOHOLS
Chemistry,Class 11,Alcohol Phenols Ethers.pdf,7,7.4.2,PREPARATION OF PHENOLS
